FATHOHM -- many-crossings . crossings within 90 days
2026-07-31T00:00:00Z . scorer v4

     fades on   score   size path
     2026-09-08 0.328   3.4K src/z.ts
     2026-09-09 0.329   3.3K src/y.ts
     2026-09-10 0.329   3.2K src/x.ts
     2026-09-11 0.329   3.1K src/w.ts
     2026-09-12 0.330   3.0K src/v.ts
     2026-09-13 0.330   2.9K src/u.ts
     2026-09-14 0.330   2.8K src/t.ts
     2026-09-15 0.331   2.7K src/s.ts
     2026-09-16 0.331   2.6K src/r.ts
     2026-09-17 0.331   2.5K src/q.ts
     2026-09-18 0.331   2.4K src/p.ts
     2026-09-19 0.332   2.3K src/o.ts
     2026-09-20 0.332   2.2K src/n.ts
     2026-09-21 0.332   2.1K src/m.ts
     2026-09-22 0.332   2.1K src/l.ts
     2026-09-23 0.332   2.0K src/k.ts
     2026-09-24 0.333   1.9K src/j.ts
     2026-09-25 0.333   1.8K src/i.ts
     2026-09-26 0.333   1.7K src/h.ts
     2026-09-27 0.333   1.6K src/g.ts
  ... and 6 more crossings -- --json has the full set
